web-scraper-order,web-scraper-start-url,detail,detail-href,title,question,answer,votes,answers
1666769350-356,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=7&pagesize=15,vscode import error for python module,https://stackoverflow.com/questions/46520127/vscode-import-error-for-python-module,vscode import error for python module,I am trying to do an import in python from one directory level up.,"I tried to add this in my launch.json, then it works!

""env"": {""PYTHONPATH"": ""${workspaceRoot}""}


below is my launch.json

        ""name"": ""Python: Current File (Integrated Terminal)"",
        ""type"": ""python"",
        ""request"": ""launch"",
        ""program"": ""${file}"",
        ""cwd"": ""${workspaceRoot}"",
        ""env"": {""PYTHONPATH"": ""${workspaceRoot}""},
        ""console"": ""integratedTerminal""


wish it can help u! :)",55,11
1666769376-357,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=7&pagesize=15,Define multiple tasks in VSCode,https://stackoverflow.com/questions/30046411/define-multiple-tasks-in-vscode,Define multiple tasks in VSCode,I have seen that it is possible to define a task in the VSCode. But I am not sure how to define multiple tasks in the tasks.json file.,"Just in case it helps someone... .
If you don't have/want gulp/grunt/etc... or an extra shell script to proxy out your task commands , ""npm run"" is there already .

this is for webpack and mocha as in ""Build and Test"" , Shift+Ctrl+B, Shift+Ctrl+T

.vscode/tasks.json:

{
  ""name"": ""npmTask"",
  //...
  ""suppressTaskName"": true,
  ""command"": ""npm"",
  ""isShellCommand"": true,
  ""args"": [
    ""run""
  ],
  ""tasks"": [
    {
      //Build Task
      ""taskName"": ""webpack"",
      //Run On Shift+Ctrl+B
      ""isBuildCommand"": true,
      //Don't run when Shift+Ctrl+T
      ""isTestCommand"": false,
      // Show the output window if error any
      ""showOutput"": ""silent"",
      //Npm Task Name
      ""args"": [
        ""webpack""
      ],
      // use 2 regex:
      // 1st the file, then the problem       
      ""problemMatcher"": {
        ""owner"": ""webpack"",
        ""severity"": ""error"",
        ""fileLocation"": ""relative"",
        ""pattern"": [
          {
            ""regexp"": ""ERROR in (.*)"",
            ""file"": 1
          },
          {
            ""regexp"": ""\\((\\d+),(\\d+)\\):(.*)"",
            ""line"": 1,
            ""column"": 2,
            ""message"": 3
          }
        ]
      }
    },
    {
      //Test Task   
      ""taskName"": ""mocha"",
      // Don't run on Shift+Ctrl+B
      ""isBuildCommand"": false,
      // Run on Shift+Ctrl+T
      ""isTestCommand"": true,
      ""showOutput"": ""always"",
      ""args"": [
        ""mocha""
      ]
    }
  ]
}


package.json:

{
  ...
  ""scripts"": {
    ""webpack"": ""webpack"",
    ""mocha"": ""/usr/bin/mocha""
  },
  ...
}",83,13
1666769402-358,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=7&pagesize=15,How to trigger parameter hints in Visual Studio Code?,https://stackoverflow.com/questions/53731271/how-to-trigger-parameter-hints-in-visual-studio-code,How to trigger parameter hints in Visual Studio Code?,I want to show parameter hints when I position cursor within the parentheses of the calling method.,"For Windows and Linux:
Ctrl + Shift + Space
For MacOS:
Shift ⇧ + Cmd ⌘ + Space",190,6
1666769428-359,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=7&pagesize=15,Visual Studio Code - How to add multiple paths to python path?,https://stackoverflow.com/questions/41471578/visual-studio-code-how-to-add-multiple-paths-to-python-path,Visual Studio Code - How to add multiple paths to python path?,"I am experimenting with Visual Studio Code and so far, it seems great (light, fast, etc).","This worked for me:-

in your launch.json profile entry, specify a new entry called ""env"", and set PYTHONPATH yourself.

""configurations"": [
    {
        ""name"": ""Python"",
        ""type"": ""python"",
        ""stopOnEntry"": false,
        ""request"": ""launch"",
        ""pythonPath"": ""${config.python.pythonPath}"",
        ""program"": ""${file}"",
        ""cwd"": ""${workspaceRoot}"",
        ""debugOptions"": [
            ""WaitOnAbnormalExit"",
            ""WaitOnNormalExit"",
            ""RedirectOutput""
        ],
        ""env"": {
            ""PYTHONPATH"": ""/path/a:path/b""
        }
    }
]",63,8
1666769454-360,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=7&pagesize=15,"Using ""Remote SSH"" in VSCode on a target machine that only allows inbound SSH connections",https://stackoverflow.com/questions/56718453/using-remote-ssh-in-vscode-on-a-target-machine-that-only-allows-inbound-ssh-co,"Using ""Remote SSH"" in VSCode on a target machine that only allows inbound SSH connections",Is there a way to use the VSCode Remote SSH extension to interact with a remote host that does not allow outbound internet connections?,"When you connect to a host it executes a bash script that wgets or curls a tarball and extracts it in a directory in your home directory. Here's an offline workaround.

Attempt to connect, let it fail

On server, get the commit id
$ ls ~/.vscode-server/bin
553cfb2c2205db5f15f3ee8395bbd5cf066d357d


Download tarball replacing $COMMIT_ID with the the commit number from the previous step


For Stable Version
https://update.code.visualstudio.com/commit:$COMMIT_ID/server-linux-x64/stable
For Insider Version
https://update.code.visualstudio.com/commit:$COMMIT_ID/server-linux-x64/insider

Move tarball to ~/.vscode-server/bin/$COMMIT_ID/vscode-server-linux-x64.tar.gz

Extract tarball in this directory
$ cd ~/.vscode-server/bin/$COMMIT_ID
$ tar -xvzf vscode-server-linux-x64.tar.gz --strip-components 1


Connect again


You'll still need to install any extensions manually. There's a download button next to all the extensions in the marketplace. Once you have the .vsix file you can install them through the GUI with the Install from VSIX option in the extensions manager.
This is kind of a pain and hopefully they improve this process, but if you have a network-based home directory, you only have to do this once.",43,5
1666769506-361,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,Prevent autocomplete in Visual Studio Code,https://stackoverflow.com/questions/32911977/prevent-autocomplete-in-visual-studio-code,Prevent autocomplete in Visual Studio Code,I'm using the new Visual Studio Code.,"In the most recent version of Visual Studio Code I've found out that the

""editor.acceptSuggestionOnCommitCharacter"": false


configuration disables this behavior.",180,9
1666769532-362,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,"How to exclude file extensions and languages from ""format on save"" in VSCode?",https://stackoverflow.com/questions/44831313/how-to-exclude-file-extensions-and-languages-from-format-on-save-in-vscode,"How to exclude file extensions and languages from ""format on save"" in VSCode?",Currently in VSCode settings you can configure format on save as following:,"You can use language specific settings to enable it for a specific language only, e.g. JavaScript:

""[javascript]"": {
    ""editor.formatOnSave"": true
}


To disable it for a specific language, you could switch the global default to true and combine it with a language-specific false:

""editor.formatOnSave"": true
""[javascript]"": {
    ""editor.formatOnSave"": false
}


Note that language specific settings are based on language identifiers rather than directly on file extensions. There's an open feature request to allow for file extension specific settings as well.

In cases where the language ID isn't specific enough, ""files.associations"" could be used to remap files with a specific extension and/or in a specific directory to another ID, but this will affect syntax highlighting, code completion, etc. as well. For instance, this would work to disable formatting for JavaScript files in out directories, but they will be treated as plaintext:

""[javascript]"": {
    ""editor.formatOnSave"": true
},
""files.associations"": {
    ""**/out/**/*.js"": ""plaintext""
}",231,6
1666769558-363,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,Visual Studio Code cannot detect installed git,https://stackoverflow.com/questions/29971624/visual-studio-code-cannot-detect-installed-git,Visual Studio Code cannot detect installed git,"Visual Studio Code reports ""It look like git is not installed on your system."" when I try to switch to the git view. I know I have git installed and used by other git clients. I guess if I re-install git following Visual Studio Code's instruction (""install it with Chocolatey or download it from git-scm.com""), it probably can fix the problem, but I don't want to mess up the existing git clients on my system. Is there a reliable way to configure Visual Studio Code so it can find existing git installation?","Now you can configure Visual Studio Code (version 0.10.2, check for older versions) to use existing git installation.

Just add the path to the git executable in your Visual Studio Code settings (File -> Preferences -> Settings) like this:

{
    // Is git enabled
    ""git.enabled"": true,

    // Path to the git executable
    ""git.path"": ""C:\\path\\to\\git.exe""

    // other settings
}",212,34
1666769584-364,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,Visual Studio Code: How to show line endings,https://stackoverflow.com/questions/39525417/visual-studio-code-how-to-show-line-endings,Visual Studio Code: How to show line endings,"How can I display lineendings (CR,LF) in Visual Studio Code (not in Visual Studio)?","AFAIK there is no way to visually see line endings in the editor space, but in the bottom-right corner of the window there is an indicator that says ""CLRF"" or ""LF"" which will let you set the line endings for a particular file. Clicking on the text will allow you to change the line endings as well.",316,7
1666769610-365,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,"Visual Studio Code formatting for ""{ }""",https://stackoverflow.com/questions/45823734/visual-studio-code-formatting-for,"Visual Studio Code formatting for ""{ }""",I'm on Ubuntu. C++ in Visual Studio Code automatically lints like,"base on @Chris Drew's answer


Go Preferences -> Settings
Search for C_Cpp.clang_format_fallbackStyle
Click Edit, Copy to Settings
Change from ""Visual Studio"" to ""{ BasedOnStyle: Google, IndentWidth: 4 }""


e.g.


""C_Cpp.clang_format_fallbackStyle"": ""{ BasedOnStyle: Google, IndentWidth: 4, ColumnLimit: 0}""

btw ColumnLimit: 0 is helpful too, because google limit will break your code to next line when you do not need it.


If you want more:


check https://clang.llvm.org/docs/ClangFormatStyleOptions.html
customize your functionality to ""C_Cpp.clang_format_fallbackStyle"" for your loved favor.


More detail:

English: https://medium.com/@zamhuang/vscode-how-to-customize-c-s-coding-style-in-vscode-ad16d87e93bf

Taiwan: https://medium.com/@zamhuang/vscode-%E5%A6%82%E4%BD%95%E5%9C%A8-vscode-%E4%B8%8A%E8%87%AA%E5%AE%9A%E7%BE%A9-c-%E7%9A%84-coding-style-c8eb199c57ce",133,6
1666769636-366,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,Choose folders to be ignored during search in VS Code,https://stackoverflow.com/questions/29971600/choose-folders-to-be-ignored-during-search-in-vs-code,Choose folders to be ignored during search in VS Code,"Right now when I use ⌘+O to search for files, the fuzzy matching appears to operate over all files in the current project. Unfortunately, this includes a number of files from build and vendor directories. So, for instance, if I want to search for all JavaScript files and do ⌘+O and type .js in, the file and symbol results include around 1500 hits and all of them except the two ones are complete noise.","Temporary Exclusions
From the search function, click the ellipsis to show the files to include and files to exclude text boxes. Enter any files and folder to exclude (separated by commas).

Persistent Exclusions
From menu choose File ➡️ Preferences ➡️ Settings ➡️ User/Workspace Settings and filter default settings to search.

User settings will apply to all workspaces
Workspace settings will apply only to this workspace

You can modify the search.exclude setting (copy from default setting to your user or workspace settings). That will apply only to searches. Note that settings from files.exclude will be automatically applied.
Toggling search exclusions
You can (sometimes accidentally) toggle if these exclusions are enabled or disabled when searching using the gear icon in the files to exclude text box. Click the ellipsis, then the gear icon to toggle.

Additional documentation on configuring settings in Visual Studio Code
If the settings don't work
You might also need to Clear Editor History (See: https://github.com/Microsoft/vscode/issues/6502).
Example
I am developing an EmberJS application which saves thousands of files under the tmp directory.
If you select WORKSPACE SETTINGS on the right side of the search field, the search exclusion will only be applied to this particular project. And a corresponding .vscode folder will be added to the root folder containing settings.json.
This is my example settings:
{
    // ...
    ""search.exclude"": {
        ""**/.git"": true,
        ""**/node_modules"": true,
        ""**/bower_components"": true,
        ""**/tmp"": true
    },
    // ...
}

Note: Include a ** at the beginning of any search exclusion to cover the search term over any folders and sub-folders.
Picture of search before updating settings:
Before updating the settings the search results are a mess.

Picture of search after updating settings:
After updating the settings the search results are exactly what I want.",609,19
1666769662-367,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,How do I use Bash on Ubuntu on Windows (WSL) for my VS Code terminal?,https://stackoverflow.com/questions/44450218/how-do-i-use-bash-on-ubuntu-on-windows-wsl-for-my-vs-code-terminal,How do I use Bash on Ubuntu on Windows (WSL) for my VS Code terminal?,"While other questions deal with how to use things like git-bash, giving the new WSL a spin as the terminal for VS Code is not the same: it gives you access to bash running on an actual Ubuntu Linux subsystem, instead of the git-bash terminal running on the Windows subsystem.","This answer seeks to help others avoid spending 1-2 hours troubleshooting and slowly finding disparate solutions for common problems when using WSL for the terminal in VS Code. It does not cover installing specific packages, but rather common ones that may not properly install as dependencies when installing things that do rely on their presence, and on fixing related common settings.

Summary of steps


WSL installed
VS Code (or other IDE) configured for terminal
NPM installed & path fix in .profile (may help with other tools)
build-essential installed (helps with any tools that use make/gcc/etc)
VS Code Tasks using WSL
Extras


Getting Started & Requirements


You must have WSL installed. (Which means you must be running 64 bit Windows 10, with the appropriate updates) Follow the install guide if not already installed. This will require some reboots.


VS Code Terminal Configuration

Either the CTRL+, keyboard shortcut, or File → Preferences → Settings

In the top right of the editing window, make sure you are working in the correct context for you: either User Settings or Workspace Settings.



In the settings search bar, type terminal.integrated.shell.windows (or whatever gets you far enough long)

Find the setting in the actual settings file, use Edit (mouse over the line, it will be on the left: on a touch screen without a mouse, you should be able to simply tap to the left of the line), and select Replace in Settings



In the right pane, modify the entry created in the modified json file: replace the previous setting with

""C:\\WINDOWS\\Sysnative\\bash.exe""




Other IDEs: IntelliJ

Open Settings/Tools/Terminal and set the ""Shell path"" field to ""C:\Users\USERNAME\AppData\Local\Microsoft\WindowsApps\ubuntu.exe""

Making your WSL Ubuntu Bash Terminal functional for dev

When you use CTRL+` to open the terminal, you should now have a bash terminal.

If this is the first time you have run bash.exe, you may be asked about installing Ubuntu. Do so. Once your installation is complete, choose your username and password to be used in WSL Ubuntu. These do not have to coincide with your current Windows account, and it's important to note that they will not change based on changes to your Windows account's password.

Once you are done, you will have a bash command prompt in your terminal.

Note that unlike git-bash on Windows, this is a separate environment. While it can be used to launch Windows software outside of itself, you will need appropriate Ubuntu packages to run them within the actual terminal.

Currently, WSL does not come loaded with everything you might expect or be used to having, and some things can conflict with software you have loaded in Windows, based on default profile settings.

Updates & git

Note: I'm going to document these as sudo for people who simply need single pieces of this, but one option at the start is to instead sudo su and simply running the following commands without sudo.

Make sure your Ubuntu packages are up to date:

sudo apt-get -y update
sudo apt-get -y upgrade
sudo apt-get -y dist-upgrade
sudo apt autoremove


Install git:

sudo apt-get install git


Node.js & NPM

If you already have Node or NPM loaded in Windows, running them in Ubuntu can get problematic due to path issues. So, you need to install the Ubuntu native versions and ensure that they are used instead.

First, install node.js with NPM.
(alternate: install NVM and use it to install node.js)

After installing, running npm commands will probably fail: for example, npm -v will probably give you:

: not foundram Files/nodejs/npm: 3: /mnt/c/Program Files/nodejs/npm:
: not foundram Files/nodejs/npm: 5: /mnt/c/Program Files/nodejs/npm:
/mnt/c/Program Files/nodejs/npm: 6: /mnt/c/Program Files/nodejs/npm: Syntax error: word unexpected (expecting ""in"")


This is due to a pathing issue with a fairly straightforward solution. Using your favorite CLI editor (such as nano, vim, emacs, cat and sed… etc), open your ~/.profile

nano ~/.profile


Note: do NOT attempt to edit Linux files using Windows tools. (Thanks to @david-c-rankin's comment for the official link with the bold red text explaining this) If you don't want to use a CLI editor for this in the terminal, see the bottom of this post for a link on how to get a GUI one running.

Currently, the default bash PATH variable in WSL is

PATH=""$HOME/bin:$HOME/.local/bin:$PATH""


Which is injecting the windows path after the first two binary directories. Unfortunately, this doesn't result in /usr/bin being used before the windows installed npm, so add that before the final $PATH:

PATH=""$HOME/bin:$HOME/.local/bin:/usr/bin:$PATH""


Save out, and then either reload the terminal or just source the path file

source ~/.profile


Build-essential

If you are using anything which requires compiling or otherwise uses make, it's almost guaranteed that you will need these installed; so if you did not install them while installing node.js, do so. It's much easier to simply use the build-essential package rather than try to install everything separately.

Note that packages such as Compass which rely on Ruby FFI will fail without these. If you are having trouble properly installing and running a tool, making sure you have gcc and make installed can be a good place to start.

sudo apt-get install -y build-essential


Running Tasks using Ubuntu

Note that if you use VS Code's tasks.json to run build tasks, by default it will still run them using the Windows subsystem instead of the Ubuntu one. Sometimes this may be what you want, but if you've just finished installing grunt-cli in Ubuntu and not Windows, it's probably not.

VS Code recently had the 2017 May update to how Tasks work that allows it to set the task runner as the terminal. This is by far the easiest way to migrate tasks over.

Simply set

""runner"": ""terminal"",


in your tasks.json and you're done (assuming you have all of the appropriate tools you are trying to run now installed in WSL Ubuntu).

This is very portable, ideally requiring no changes between systems which do or do not have WSL, or to other OSes, and is the method I would recommend.

As of the moment, this method spawns another TERMINAL tab instance (accessed from the drop down). You can still set up appropriate watchers, but it does mean that it's no longer sitting on the OUTPUT tab.

The old method is capable of invoking the WSL Ubunutu Bash shell and having it show up in OUTPUT, and involves either calling bash.exe with the -c argument or using a shell script. It unfortunately is not as semantic, since we are making bash our command and passing it what we want to run as an argument instead. This also means it is not as quickly portable to other systems.

You can use the same location you gave VS Code earlier for the terminal itself, C:\\WINDOWS\\Sysnative\\bash.exe as the value for command

Set the first element of the args array as -c and the second as the command you want to run (credit to the second half of this answer).

Alternatively, you can instead run a shell script as seen here.

Further helpful bits

Want to start VSCode in Windows from the WSL Bash command line?

Want to have a graphical interface for your WSL Ubuntu? (this will allow you to do things like use a Linux GUI editor for files within the Ubuntu system itself: do not edit them using Windows editing tools, see comments/note in section on npm)

Want to build (see the above portion on setting up VS Code Tasks properly for WSL) and debug entirely within WSL Ubuntu? (this shows how to do so using gdb, but the pipeTransport concept could be used with other debuggers) (credit to this answer, but the one before it also provides a method using local loopback that could prove useful)",92,4
1666769688-368,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,How do I search for files in Visual Studio Code?,https://stackoverflow.com/questions/30095376/how-do-i-search-for-files-in-visual-studio-code,How do I search for files in Visual Studio Code?,"I am used to Resharper where I can search for files, not the content, but the filename, which makes it quick to open new files.","Using Go to File... which is under the Go menu or using keyboard shortcut:


On Windows Ctrl+p or Ctrl+e
On macOS Cmd ⌘+p 
On Linux Ctrl+p or Ctrl+e


Then type the file name.

Also be sure to checkout that you can set your own keybindings and that there are cheatsheets available for Windows, macOS and Linux.",996,17
1666769714-369,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,How can I navigate back to the last cursor position in Visual Studio Code?,https://stackoverflow.com/questions/35424367/how-can-i-navigate-back-to-the-last-cursor-position-in-visual-studio-code,How can I navigate back to the last cursor position in Visual Studio Code?,What is the keyboard shortcut to navigate back to the last cursor position in Visual Studio Code?,"The keyboard shortcut commands are Go Forward and Go Back.

On Windows:
Alt + ← ... navigate back
Alt + → ... navigate forward
On Mac:
Ctrl + - ... navigate back
Ctrl + Shift + - ... navigate forward
On Ubuntu Linux:
Ctrl + Alt + - ... navigate back
Ctrl + Shift + - ... navigate forward",1070,16
1666769740-370,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,Live Sass Compiler - @use causes compilation error,https://stackoverflow.com/questions/66193156/live-sass-compiler-use-causes-compilation-error,Live Sass Compiler - @use causes compilation error,"I'm using Live Sass Compiler v3.0.0 in my VS Code and it throws a compilation error whenever I use the @use rule to import variables from another file. However, when I use the Sass command line interface (sass --watch) to compile my files, it throws no errors.","I had same/similar problem two days ago.
@use is a new directive introduced in the new official Version 'Dart Sass' and replaces '@import' which is depricated now.
The popular Extension 'Live Sass Compiler' in VS Code is not longer supported by the maintainer for some time. So unfortunately the Sass Version is not updated in that extension...
In VS Code for 'Dart Sass' I found the the Extension 'DartJS Sass Compiler':

https://marketplace.visualstudio.com/items?itemName=codelios.dartsass
Actual I just did a quick testing so I cannot report much about it. But on the first glance it is running well. But as it is another extension you may have to change some settings.
UPDATE
Additional to the above reported exentsion DartJS Sass Compiler with actual SASS version I found an actualised and actual maintained fork of Live Sass Compiler. It has been deep hidden in the searching reuslts. As it is a very popular extension in VS Code here the link to the fork:
https://marketplace.visualstudio.com/items?itemName=glenn2223.live-sass
Remark:
I played arround with both extension. Both are doing the job well and have advantages.
'DartJS Sass Compiler' has the additional possibility for more detailed output like information about sass version and watchers. And additional to included SASS version it allows to use your own SASS version if installed to your system or locally to your project. So there is no/less dependency on updates by the maintainer.
'Live Sass Compiler' runs out of the box with included sass version. As it is a very popular extension in VS Code there is a special advantage: it seems it keeps your settings in the old projects running.
I think both are good solutions.",3,1
1666769766-371,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,LaTeX fraction snippets in VSCode,https://stackoverflow.com/questions/62545965/latex-fraction-snippets-in-vscode,LaTeX fraction snippets in VSCode,"For the past 18 months, I've been using the LaTeX Workshop extension of VSCode for all my LaTeXing needs. Up to this point, I've primarily used it for longer-form articles and reports, and sporadically for note-taking purposes in class. I've been able to make it work sufficiently well in real-time so far with just a few custom macros (Linear Algebra typesets pretty easily). However, as I move on to different classes, I'm looking to expand my real-time abilities by implementing Gilles Castel's excellent Vim-based workflow in VSCode. Unfortunately, VSCode seems to obscure or lack (by default) a great deal of the features (especially related to snippets) of which Castel makes use.","After you install HyperSnips, use its command HyperSnips: Open snippets directory to open the directory where you will put your snippets.
Snippets in all.hsnips will be available in all language files.  You can also put your snippets into something like latex.hsnips or Latex.hsnips in the same directory and both versions work for me.

Modifying the code from Castel's guide put this into your chosen <language>.hsnips file:
snippet // ""Fraction simple"" A
\frac{$1}{$2}$0
endsnippet

snippet `((\d+)|(\d*)(\\)?([A-Za-z]+)((\^|_)(\{\d+\}|\d))*)/` ""Fraction no ()"" A
\frac{``rv = m[1]``}{$1}$0
endsnippet

Note that interpolated code goes into double backticks ""``"" and the value from that code must be assigned to rv (return value).  Whatever is assigned to rv will appear in the snippet output.  Note also there are additional tabstops $1, $2 and $0 in the above snippets - there values can be accessed by the interpolated code within the t array but you don't need that here.
And then here is the final snippet that works for the harder case of embedded parentheses within your ""prefix"" like (1 + (2 + 3))/.  I think of (1 + (2 + 3))/ just like a traditional vscode snippet prefix EXCEPT that you can use regex expressions as the prefix!!  Regex prefixes/triggers must within backticks.
snippet `^.*\)/` ""Fraction with ()"" A
``
    let str = m[0];
    str = str.slice(0, -1);
    let lastIndex = str.length - 1;

    let depth = 0;
    let i = str.length - 1;

    while (true) {
        if (str[i] == ')') depth += 1;
        if (str[i] == '(') depth -= 1;
        if (depth == 0) break;
        i -= 1;
    }

    let results = str.slice(0, i) + ""\\frac{"" + str.slice(i+1, -1) + ""}"";
    results += ""{$1}$0"";
    rv = results;
    ``
endsnippet

Here ^.*\)/ is the prefix/trigger.  The extension looks at all your code as you type for that pattern which is basically at least one ) before a / and then match everything before those to the previous word boundary.  And then that match info is available within the matched code as m[0].  You can have capture groups with your prefix/trigger and access them in m[1], etc. but that isn't needed here.
As you can see, the code to be interpolated must be javascript for this extension to work.
The location of that first set of backticks is important!  Here
snippet `^.*\)/` ""Fraction with ()"" A
``
   <other code indented here>
   ``  <indented or flush left, didn't seem to matter in my testing>
endsnippet

the indented code is easier to read IMO, but the output will also be indented unless that first set of backticks is not indented (unless of course you want the output indented).  I don't that if that is a ""quirk"" or as planned.  But the position of that first set of backticks seems to determine the location of the output.
The body of this final snippet (again code from the guide you linked to, but translated to javascript by me from his python code) just figures out how far to backtrack (character by character) to get an even number of parentheses.  Any preceding part of the input prefix/trigger goes before the \frac part.
After making changes to this file, always run the command HyperSnips: Reload Snippets to ensure they are ready for testing immediately.
Demo in action:",1,2
1666769792-372,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,How do I set up VSCode to put curly braces on a new line?,https://stackoverflow.com/questions/32900921/how-do-i-set-up-vscode-to-put-curly-braces-on-a-new-line,How do I set up VSCode to put curly braces on a new line?,Let's say I type in the following code and format it.,"Follow the steps below to make Visual Studio Code format opening curly braces on a new line for Java Script and Type Script.

In Visual Studio Code (v1.20.0)


Go to File\Preferences\Settings
Add the following lines in 'User Settings' (in the right side pane)

""javascript.format.placeOpenBraceOnNewLineForControlBlocks"": true, 
""javascript.format.placeOpenBraceOnNewLineForFunctions"": true,

""typescript.format.placeOpenBraceOnNewLineForControlBlocks"": true,
""typescript.format.placeOpenBraceOnNewLineForFunctions"": true,

Save 'User Settings' and you are done!",70,10
1666769818-373,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,Set global $PATH environment variable in VS Code,https://stackoverflow.com/questions/43983718/set-global-path-environment-variable-in-vs-code,Set global $PATH environment variable in VS Code,"I'm defining a custom $PATH environment variable in my ~/.bash_profile (on a Mac), like so:","If you only need the $PATH to be set in the integrated terminal, you can use VS Code's terminal.integrated.env.<platform> variable (added in version 1.15). Press Cmd+Shift+P (or Ctrl+Shift+P) and search for ""Preferences: Open Settings (JSON)"". Then add the following entry to the settings file:

""terminal.integrated.env.osx"": {
  ""PATH"": ""...:/usr/bin:/bin:...""
}


(Replace .osx with .linux or .windows as needed.)

To see your system's $PATH, type echo ""$PATH"" in Terminal.app, and copy and paste it into the settings snippet above.



As for having the $PATH available everwhere in VS Code, so that it will 
be used by extensions that call binaries, the only workaround I've found so far is this:


Configure your shell (bash by default) to have the $PATH you want. For example, my ~/.bash_profile has the following line:

PATH=""$PATH:$HOME/bin""

In VS Code, press ⇧⌘P and type install 'code' command if you haven't done so before.
Quit VS Code.
Launch VS Code not by clicking the icon in the dock or in Launchpad, but by opening Terminal.app and typing code. Your newly set path will be active in VS Code until you quit it.
If VS Code restarts, for example due to an upgrade, the $PATH will reset to the system default. In that case, quit VS Code and re-launch it by typing code.",60,12
1666769844-374,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,Debug & Run Angular2 Typescript with Visual Studio Code?,https://stackoverflow.com/questions/36494938/debug-run-angular2-typescript-with-visual-studio-code,Debug & Run Angular2 Typescript with Visual Studio Code?,Debug & Run Angular2 Typescript with Visual Studio Code?,"After lot of research, I found these steps-

Before you begin, make sure you have latest version of VS code. You can verify latest version – Help > Check For Updates or About.


Install extension called 'Debugger for Chrome'. Once install complete, restart VS code.
Go to Debug window, open launch.json using Chrome.
In Launch.json configuration section, use below config

{
    ""name"": ""Launch localhost with sourcemaps"",
    ""type"": ""chrome"",
    ""request"": ""launch"",
    ""url"": ""http://localhost:3000/Welcome"",
    ""sourceMaps"": true,
    ""webRoot"": ""${workspaceRoot}""
}

In tsconfig.json, make sure you have ""sourceMap"": true


This completes your debug environment settings.
Now, before you start debugging, make sure all your existing Chrome.exe instances are closed. Verify from Task Manager OR Use DOS command ‘killall chrome’


Run your project, using npm start command and Chrome as default browser.
Once application is run successfully, you will receive port number. Copy URL from chrome browser and paste into url section above.
(NOTE: If you are using routing in your application then url would like above otherwise it will be ending index.html etc)
Now, place breakpoints wherever you want in your typescript files.
Again, go to debug window in VS code, and hit Run. 
Your tab/instance connected to debugger will looks like below.",79,10
1666769870-375,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=6&pagesize=15,Install a Nuget package in Visual Studio Code,https://stackoverflow.com/questions/40675162/install-a-nuget-package-in-visual-studio-code,Install a Nuget package in Visual Studio Code,"How can I install a Nuget Package in Visual Studio Code? I know in Visual Studio, we  can do this through the Nuget Package Manager console, but how do I do it in VS Code?","From the command line or the Terminal windows in vs code editor dotnet add package Newtonsoft.Json

See this article by Scott Hanselman",295,12
1666769922-376,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=5&pagesize=15,VSCode Change Default Terminal,https://stackoverflow.com/questions/44435697/vscode-change-default-terminal,VSCode Change Default Terminal,I am using Visual Studio Code on my Windows 10 PC. I want to change my default terminal from Windows PowerShell to Bash on Ubuntu (on Windows).,"You can also select your default terminal by pressing F1 in VS Code and typing/selecting Terminal: Select Default Profile (or Terminal: Select Default Shell in older VSCode versions).

Older:",315,11
